tweet_id,favorites,retweets,user_followers,user_favourites,date_time
796177847564038144,0,14697,8768045,145816,2016-11-09 02:29:25+00:00
796149749086875649,33087,14697,8768045,145816,2016-11-09 00:37:46+00:00
796125600683540480,5092,1858,8768045,145816,2016-11-08 23:01:49+00:00
796116448414461957,9339,2484,8768045,145816,2016-11-08 22:25:27+00:00
796080075804475393,8670,2381,8768045,145816,2016-11-08 20:00:55+00:00
796031486298386433,11080,3817,8768045,145816,2016-11-08 16:47:50+00:00
795464331001561088,50896,24340,8768045,145816,2016-11-07 03:14:10+00:00
795400264262053889,10326,2957,8768045,145816,2016-11-06 22:59:35+00:00
795076730285391872,16618,5583,8768045,145816,2016-11-06 01:33:58+00:00
794983741416415232,0,3472,8768045,145816,2016-11-05 19:24:28+00:00
794926597468000259,10522,2375,8768045,145816,2016-11-05 15:37:24+00:00
794355576146903043,0,10603,8768045,145816,2016-11-04 01:48:22+00:00
794332329137291264,9822,2748,8768045,145816,2016-11-04 00:15:59+00:00
794205286408003585,9456,3406,8768045,145816,2016-11-03 15:51:10+00:00
793962221541933056,17267,5032,8768045,145816,2016-11-02 23:45:19+00:00
793845145112371200,9466,1922,8768045,145816,2016-11-02 16:00:06+00:00
793614319594401792,0,3223,8768045,145816,2016-11-02 00:42:53+00:00
793601777308463104,8184,1675,8768045,145816,2016-11-01 23:53:02+00:00
793500921481273345,10949,2443,8768045,145816,2016-11-01 17:12:16+00:00
793286476301799424,25231,9425,8768045,145816,2016-11-01 03:00:09+00:00
793271401113350145,8924,2460,8768045,145816,2016-11-01 02:00:14+00:00
793256262322548741,20494,8582,8768045,145816,2016-11-01 01:00:05+00:00
793241302385262592,10794,3386,8768045,145816,2016-11-01 00:00:38+00:00
793226087023144960,10097,2948,8768045,145816,2016-10-31 23:00:11+00:00
793210959003287553,9159,2875,8768045,145816,2016-10-31 22:00:04+00:00
793195938047070209,15686,5794,8768045,145816,2016-10-31 21:00:23+00:00
793180763617361921,7127,2061,8768045,145816,2016-10-31 20:00:05+00:00
793165685325201412,9669,2860,8768045,145816,2016-10-31 19:00:10+00:00
793150605191548928,6349,1746,8768045,145816,2016-10-31 18:00:14+00:00
793135492858580992,6616,2558,8768045,145816,2016-10-31 17:00:11+00:00
793120401413079041,13015,4027,8768045,145816,2016-10-31 16:00:13+00:00
792913359805018113,14703,4086,8768045,145816,2016-10-31 02:17:31+00:00
792883833364439040,11599,4387,8768045,145816,2016-10-31 00:20:11+00:00
792773781206999040,7539,1728,8768045,145816,2016-10-30 17:02:53+00:00
792394556390137856,13798,4414,8768045,145816,2016-10-29 15:55:58+00:00
792050063153438720,7339,1854,8768045,145816,2016-10-28 17:07:05+00:00
791821351946420224,0,21679,8768045,145816,2016-10-28 01:58:16+00:00
791784077045166082,0,9865,8768045,145816,2016-10-27 23:30:09+00:00
791780927877898241,0,3928,8768045,145816,2016-10-27 23:17:38+00:00
791774931465953280,46253,22845,8768045,145816,2016-10-27 22:53:48+00:00
791672322847637504,12050,3223,8768045,145816,2016-10-27 16:06:04+00:00
791406955684368384,13457,4238,8768045,145816,2016-10-26 22:31:36+00:00
791312159183634433,9001,2609,8768045,145816,2016-10-26 16:14:55+00:00
791026214425268224,0,4212,8768045,145816,2016-10-25 21:18:40+00:00
790987426131050500,10085,2194,8768045,145816,2016-10-25 18:44:32+00:00
790946055508652032,17060,4817,8768045,145816,2016-10-25 16:00:09+00:00
790723298204217344,0,2376,8768045,145816,2016-10-25 01:14:59+00:00
790698755171364864,8421,1980,8768045,145816,2016-10-24 23:37:28+00:00
790581949425475584,21162,7362,8768045,145816,2016-10-24 15:53:19+00:00
790337589677002753,8015,1926,8768045,145816,2016-10-23 23:42:19+00:00
790277117346975746,12872,3256,8768045,145816,2016-10-23 19:42:02+00:00
790227638568808452,0,3665,8768045,145816,2016-10-23 16:25:25+00:00
789986466051088384,9485,2376,8768045,145816,2016-10-23 00:27:05+00:00
789960241177853952,0,4230,8768045,145816,2016-10-22 22:42:52+00:00
789903600034189313,10620,4236,8768045,145816,2016-10-22 18:57:48+00:00
789628658055020548,7679,1822,8768045,145816,2016-10-22 00:45:17+00:00
789599242079838210,6929,1976,8768045,145816,2016-10-21 22:48:24+00:00
